'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Giesel';'Jan';1972;'ödp';23;'Hamburg';6;' 3 ';'  '
'Giesler';'David';1984;'NPD';22;'Hessen';7;' 7 ';168
'Gieß';'Anton';1941;'RENTNER';28;'Nordrhein-Westfalen';10;' 6 ';'  '
'Gießler';'Cornelia';1978;'CDU';6;'Thüringen';16;' 12 ';'  '
'Gilbert';'Raimund';1990;'BP';3;'Bayern';2;' 20 ';'  '
'Gill-Gers';'Alexandra';1970;'SPD';29;'Rheinland-Pfalz';11;' 17 ';'  '
'Gilles';'Horst Helmut';1943;'RRP';27;'Niedersachsen';9;' 9 ';38
'Gillet';'Elmar';1965;'GRÜNE';4;'Nordrhein-Westfalen';10;' 24 ';'  '
'Gilsdorf';'Marlene';1935;'ödp';23;'Nordrhein-Westfalen';10;' 13 ';'  '
'Giren';'Magdalena Isabella';1960;'DIE LINKE';13;'Niedersachsen';9;' 13 ';'  '
'Girmus';'Dagmar';1946;'Tierschutz';21;'Niedersachsen';9;' 4 ';'  '
'Gisart';'Gero';1942;'CDU';6;'Nordrhein-Westfalen';10;' 59 ';'  '
'Glahn';'Klaus';1942;'RRP';27;'Niedersachsen';9;' 3 ';52
'Glanz';'Claudia';1954;'GRÜNE';4;;;;162
'Glas';'Bärbel';1962;'CDU';6;'Rheinland-Pfalz';11;' 37 ';'  '
'Gleicke';'Iris';1964;'SPD';29;'Thüringen';16;' 2 ';197
'Glöckner';'David';1985;'REP';14;'Sachsen';13;' 6 ';'  '
'Glos';'Michael';1944;'CSU';8;;;;250
'Gloser';'Günter';1950;'SPD';29;'Bayern';2;' 3 ';244
'Glück';'Ulrich';1969;'ödp';23;'Hamburg';6;' 8 ';'  '
'Gmelch';'Therese';1955;'MLPD';20;'Bayern';2;' 5 ';'  '
'Godau';'Eva-Maria';1947;'K:Godau';30;;;;70
'Godawa';'Angela';1958;'SPD';29;'Baden-Württemberg';1;' 26 ';295
'Goertz';'Ralf';1965;'REP';14;'Nordrhein-Westfalen';10;' 1 ';'  '
'Gogolin';'Marco';1980;'SPD';29;'Rheinland-Pfalz';11;' 20 ';'  '
'Gohlke';'Nicole';1975;'DIE LINKE';13;'Bayern';2;' 5 ';219
'Göhner-Feller';'Angelika';1954;'MLPD';20;'Baden-Württemberg';1;' 10 ';264
'Göktas';'Nerman';1958;'DIE LINKE';13;;;;173
'Gold';'Lars';1985;'NPD';22;'Baden-Württemberg';1;' 7 ';268
'Goldbach';'Stephanie-Johanna';1980;'Tierschutz';21;'Berlin';3;' 7 ';'  '
'Goldmann';'Hans-Michael';1946;'FDP';17;'Niedersachsen';9;' 3 ';26
'Göldner';'Fritz';1966;'PBC';24;'Bayern';2;' 1 ';'  '
'Goldstein';'Ulrike';1976;'GRÜNE';4;'Bayern';2;' 21 ';219
'Golombeck';'Heinz';1948;'FDP';17;'Baden-Württemberg';1;' 15 ';271
'Golze';'Diana';1975;'DIE LINKE';13;'Brandenburg';4;' 5 ';61
'Gonder';'Axel';1958;'DIE LINKE';13;;;;113
'Göppel';'Josef';1950;'CSU';8;;;;241
'Gorges';'Markus';1975;'CDU';6;'Sachsen-Anhalt';14;' 10 ';'  '
'Göring-Eckardt';'Katrin';1966;'GRÜNE';4;'Thüringen';16;' 1 ';192
'Görke';'Bianca';1967;'DIE LINKE';13;'Sachsen-Anhalt';14;' 9 ';'  '
'Görmann';'Horst Günter';1953;'NPD';22;'Bremen';5;' 1 ';56
'Gorr';'Thomas';1968;'NPD';22;;;;181
'Gottschalck';'Ulrike';1955;'SPD';29;;;;169
'Gottschalk';'Sascha';1978;'GRÜNE';4;'Rheinland-Pfalz';11;' 10 ';204
'Götz';'Christian';1967;'NPD';22;;;;215
'Götz';'Elisabeth';1969;'NPD';22;;;;223
'Götz';'Peter';1947;'CDU';6;;;;273
'Götzer';'Dr. Wolfgang';1955;'CSU';8;;;;228
'Grabow';'Ralf';1965;'FDP';17;'Mecklenburg-Vorpommern';8;' 6 ';'  '
'Grabowski';'Dirk';1973;'K:Grabowski';30;;;;100
'Graf';'Andrea';1966;'GRÜNE';4;'Hessen';7;' 13 ';184
'Graf';'Angelika';1947;'SPD';29;'Bayern';2;' 8 ';223
'Graf';'Rainer';1957;'ödp';23;;;;267
'Graf-Baier';'Jutta';1947;'DIE LINKE';13;'Baden-Württemberg';1;' 15 ';'  '
'Gramberg';'Iris';1960;'DIE LINKE';13;'Niedersachsen';9;' 18 ';28
'Grammel';'Markus';1976;'PBC';24;'Baden-Württemberg';1;' 2 ';269
'Granold';'Ute';1955;'CDU';6;'Rheinland-Pfalz';11;' 9 ';206
'Granser';'Bruno';1953;'REP';14;'Baden-Württemberg';1;' 14 ';'  '
'Granzow';'Dennis';1963;'SPD';29;'Brandenburg';4;' 14 ';'  '
'Grass';'Heinz Hubertus';1958;'GRÜNE';4;;;;159
'Grassert';'Armin';1959;'VIOLETTEN';15;'Berlin';3;' 3 ';'  '
'Gratzke';'Denis';1978;'NPD';22;'Sachsen-Anhalt';14;' 9 ';'  '
'Grau';'Toralf';1986;'REP';14;'Sachsen';13;' 1 ';'  '
'Graue';'Oliver';1967;'ödp';23;'Hamburg';6;' 5 ';'  '
'Graus';'Stefan Josef';1977;'SPD';29;'Saarland';12;' 25 ';'  '
'Greb';'Gero';1945;'K:Greb';30;;;;288
'Grebe';'Marlies';1956;'SPD';29;'Niedersachsen';9;' 48 ';'  '
'Greckl';'Max Josef';1941;'RRP';27;'Bayern';2;' 10 ';'  '
'Greeb';'Christian';1984;'NPD';22;'Rheinland-Pfalz';11;' 8 ';205
'Greiber';'Sebastian';1980;'FDP';17;;;;297
'Greif';'Judith';1984;'GRÜNE';4;'Bayern';2;' 13 ';218
'Greilich';'Annette';1958;'FDP';17;'Hessen';7;' 32 ';'  '
'Grein';'Eberhard';1959;'CSU';8;'Bayern';2;' 62 ';'  '
'Gremmler';'Simon';1983;'ödp';23;'Nordrhein-Westfalen';10;' 3 ';'  '
'Greuter';'Maria';1953;'SPD';29;'Saarland';12;' 32 ';'  '
'Grewe';'Michael';1968;'NPD';22;'Mecklenburg-Vorpommern';8;' 7 ';'  '
'Griefahn';'Monika';1954;'SPD';29;'Niedersachsen';9;' 19 ';37
'Griesbaum';'Joachim';1955;'MLPD';20;'Hamburg';6;' 1 ';'  '
'Griese';'Kerstin';1966;'SPD';29;'Nordrhein-Westfalen';10;' 14 ';106
'Grigo';'Mareike';1977;'GRÜNE';4;'Nordrhein-Westfalen';10;' 23 ';106
'Grigoleit';'Katrin';1968;'MLPD';20;'Thüringen';16;' 5 ';'  '
'Grimm';'Gisela';1962;'BP';3;'Bayern';2;' 21 ';'  '
'Grindel';'Reinhard Dieter';1961;'CDU';6;'Niedersachsen';9;' 16 ';36
'Gröhe';'Hermann';1961;'CDU';6;'Nordrhein-Westfalen';10;' 13 ';109
'Grohganz';'Raphael';1952;'CDU';6;'Hessen';7;' 28 ';'  '
'Groll';'Franz';1943;'DIE LINKE';13;;;;280
'Groneberg';'Gabriele';1955;'SPD';29;'Niedersachsen';9;' 14 ';33
'Groos';'Peter';1964;'GRÜNE';4;;;;85
'Groschek';'Michael';1956;'SPD';29;'Nordrhein-Westfalen';10;' 65 ';118
'Groß';'Michael Peter';1956;'SPD';29;'Nordrhein-Westfalen';10;' 47 ';123
'Groß';'Thorsten';1973;'NPD';22;'Hessen';7;' 9 ';173
'Groß';'Werner';1962;'SPD';29;'Bayern';2;' 42 ';213
'Große';'Klaus';1953;'FDP';17;'Berlin';3;' 9 ';86
'Grosse-Brömer';'Michael';1960;'CDU';6;'Niedersachsen';9;' 7 ';37
'Grosser';'Lüder';1973;'BüSo';5;'Baden-Württemberg';1;' 5 ';259
'Großhans';'Heinz';1955;'VIOLETTEN';15;'Baden-Württemberg';1;' 2 ';'  '
'Großjean';'Marc';1986;'PIRATEN';26;'Saarland';12;' 2 ';'  '
'Grossmann';'Edward';1947;'Volksabst.';1;'Baden-Württemberg';1;' 6 ';'  '
'Grotelüschen';'Astrid';1964;'CDU';6;'Niedersachsen';9;' 21 ';29
'Groth';'Annette';1954;'DIE LINKE';13;'Baden-Württemberg';1;' 5 ';279
'Groth';'Inga';1981;'CDU';6;'Mecklenburg-Vorpommern';8;' 8 ';'  '
'Grube';'Andreas';1960;'K:Grube';30;;;;190
'Grube';'Karl-Peter';1951;'ödp';23;'Hamburg';6;' 7 ';20
'Grübel';'Markus';1959;'CDU';6;;;;261
'Gruber';'Andreas';1946;'BP';3;'Bayern';2;' 22 ';'  '
'Grund';'Manfred';1955;'CDU';6;'Thüringen';16;' 1 ';189
'Grundl';'Erhard';1963;'GRÜNE';4;'Bayern';2;' 20 ';231
'Gründler';'Michael Johannes';1958;'BüSo';5;'Sachsen';13;' 7 ';'  '
'Grüning';'Rolf';1959;'DIE LINKE';13;;;;276
'Grünwedel';'Holger';1958;'DIE LINKE';13;;;;251
'Gruß';'Miriam';1975;'FDP';17;'Bayern';2;' 5 ';252
'Grüß';'Michael';1976;'DKP';10;'Berlin';3;' 17 ';'  '
'Grüter';'Dr. Stefan';1954;'CDU';6;'Baden-Württemberg';1;' 41 ';'  '
'Grütters';'Prof. Monika';1962;'CDU';6;'Berlin';3;' 1 ';86
'Gudat';'Helmut';1957;'NPD';22;'Nordrhein-Westfalen';10;' 6 ';90
'Gujjula';'Ravindra';1954;'SPD';29;'Brandenburg';4;' 11 ';60
'Gülck';'Elke';1937;'DVU';11;'Sachsen-Anhalt';14;' 2 ';'  '
'Gumppenberg Freiherr von';'Dietrich';1941;'FDP';17;'Bayern';2;' 37 ';'  '
'Gund';'Madline';1987;'CDU';6;'Baden-Württemberg';1;' 37 ';'  '
'Gunder';'Rosemarie';1952;'GRÜNE';4;'Bayern';2;' 23 ';'  '
'Gungl';'Andrea';1959;'CDU';6;'Baden-Württemberg';1;' 42 ';'  '
'Gunkel';'Wolfgang';1947;'SPD';29;'Sachsen';13;' 5 ';158
'Günter';'Tanya-Michelé';1969;'FAMILIE';16;'Bayern';2;' 4 ';'  '
'Günther';'Joachim';1948;'FDP';17;'Sachsen';13;' 2 ';167
'Gür';'Derya';1981;'GRÜNE';4;'Nordrhein-Westfalen';10;' 21 ';'  '
'Güssgen';'Achim';1957;'FDP';17;'Hessen';7;' 15 ';177
'Gutowski';'Erold';1950;'REP';14;'Baden-Württemberg';1;' 9 ';'  '
'Gutsche';'Hermann';1954;'NPD';22;'Schleswig-Holstein';15;' 6 ';5
'Guttenberg Freiherr von und zu';'Dr. Karl-Theodor';1971;'CSU';8;'Bayern';2;' 3 ';240
'Gutting';'Olav';1970;'CDU';6;;;;278
'Gysi';'Dr. Gregor';1948;'DIE LINKE';13;'Berlin';3;' 1 ';85
'Haag';'Tilo ';1978;'PIRATEN';26;'Mecklenburg-Vorpommern';8;' 5 ';'   '
'Haar';'Detlef';1945;'RRP';27;;;;46
'Haase';'Heiner Joachim';1957;'GRÜNE';4;'Niedersachsen';9;' 10 ';35
'Haase';'Stephan';1968;'NPD';22;'Nordrhein-Westfalen';10;' 2 ';150
'Habereder';'Christine';1963;'Volksabst.';1;'Baden-Württemberg';1;' 2 ';'  '
'Habisch';'Thomas';1969;'PIRATEN';26;'Brandenburg';4;' 3 ';'  '
'Hachenburger';'Manuel';1962;'K:Hachenburger';30;;;;177
'Hackenbruch';'Tino';1977;'CDU';6;'Rheinland-Pfalz';11;' 17 ';'  '
'Hacker';'Hans-Joachim';1949;'SPD';29;'Mecklenburg-Vorpommern';8;' 1 ';13
'Hackl';'Maria';1956;'SPD';29;'Bayern';2;' 32 ';253
'Haemer';'Günter';1940;'REP';14;'Hessen';7;' 3 ';'  '
'Haerting';'Dr. Gesine';1958;'GRÜNE';4;;;;75
'Haese';'Peter Joachim Bruno';1937;'NPD';22;;;;230
'Haese';'Reinhard Gerd-Jürgen';1948;'REP';14;'Berlin';3;' 1 ';'  '
'Hagedorn';'Angelika Jutta';1957;'FAMILIE';16;'Nordrhein-Westfalen';10;' 6 ';'  '
'Hagedorn';'Bettina';1955;'SPD';29;'Schleswig-Holstein';15;' 2 ';9
'Hagelstein';'Gene';1967;'SPD';29;'Hessen';7;' 21 ';'  '
'Hagemann';'Klaus';1947;'SPD';29;'Rheinland-Pfalz';11;' 9 ';207
'Hagen';'Heide';1956;'PIRATEN';26;'Berlin';3;' 2 ';'  '
'Hager';'Jörg';1980;'NPD';22;'Baden-Württemberg';1;' 9 ';'  '
'Hager-Dietel';'Ina';1959;'CSU';8;'Bayern';2;' 46 ';'  '
'Häggberg';'Verena';1973;'ödp';23;'Hamburg';6;' 2 ';'  '
'Hagl';'Rita';1970;'SPD';29;'Bayern';2;' 34 ';227
'Hahn';'Florian';1974;'CSU';8;'Bayern';2;' 33 ';222
'Hahn';'Michael';1970;'NPD';22;'Niedersachsen';9;' 7 ';54
'Hähnel';'Jörg';1975;'NPD';22;'Berlin';3;' 2 ';77
'Hähnel';'Stella';1972;'NPD';22;;;;63
'Hähner';'Andrea';1961;'MLPD';20;'Schleswig-Holstein';15;' 3 ';'  '
'Haibach';'Holger-Heinrich';1971;'CDU';6;'Hessen';7;' 17 ';176
'Hakverdi';'Metin';1969;'SPD';29;'Hamburg';6;' 10 ';'  '
'Halbroth';'Fredy';1953;'REP';14;'Baden-Württemberg';1;' 10 ';'  '
'Haliti';'Marcel';1983;'NPD';22;;;;119
'Hall';'Alexandra';1972;'ZENTRUM';12;'Nordrhein-Westfalen';10;' 3 ';'  '
'Haller';'Ingo';1972;'NPD';22;;;;91
'Halmanns';'Matthias';1981;'NPD';22;;;;115
'Haltaufderheide';'Karen';1960;'GRÜNE';4;'Nordrhein-Westfalen';10;' 19 ';139
'Hamacher';'Ralf';1962;'FAMILIE';16;'Nordrhein-Westfalen';10;' 8 ';'  '
'Hamisch';'Enrico';1974;'NPD';22;'Mecklenburg-Vorpommern';8;' 8 ';'  '
'Hammer';'Sandro';1974;'DIE LINKE';13;'Bayern';2;' 26 ';235
'Hanke';'Tim';1979;'CDU';6;'Schleswig-Holstein';15;' 17 ';'  '
'Hannemann-Röttgers';'Brigit Susanne';1961;'SPD';29;'Schleswig-Holstein';15;' 16 ';'  '
'Hänsch';'Lothar';1949;'FDP';17;'Hamburg';6;' 8 ';19
'Hänsel';'Heike';1966;'DIE LINKE';13;'Baden-Württemberg';1;' 2 ';290
'Happach-Kasan';'Dr. Christel';1950;'FDP';17;'Schleswig-Holstein';15;' 2 ';10
'Harbarth';'Dr. Stephan';1971;'CDU';6;;;;277
'Hardt';'Jürgen';1963;'CDU';6;'Nordrhein-Westfalen';10;' 48 ';104
'Harf';'Oliver';1972;'NPD';22;;;;88
'Härle';'Siegfried';1935;'NPD';22;;;;292
'Harting';'Burkhard';1962;'ZENTRUM';12;'Nordrhein-Westfalen';10;' 5 ';'  '
'Hartmann';'Alexander';1961;'BüSo';5;'Hessen';7;' 1 ';179
'Hartmann';'Birgit';1960;'BP';3;'Bayern';2;' 23 ';'  '
'Hartmann';'Detlef';1959;'NPD';22;;;;104
'Hartmann';'Esther';1955;'DIE LINKE';13;'Schleswig-Holstein';15;' 3 ';6
'Hartmann';'Georg';1936;'NPD';22;'Hessen';7;' 8 ';187
'Hartmann';'Günther';1965;'ödp';23;'Bayern';2;' 19 ';219
'Hartmann';'Maria';1955;'FAMILIE';16;'Nordrhein-Westfalen';10;' 1 ';'  '
'Hartmann';'Michael';1963;'SPD';29;'Rheinland-Pfalz';11;' 2 ';206
'Hartmann';'Simon';1977;'SPD';29;'Niedersachsen';9;' 37 ';'  '
'Hartmann';'Thomas';1963;'GRÜNE';4;;;;256
'Hartmann';'Uwe';1963;'BP';3;'Bayern';2;' 2 ';'  '
'Hartmann-Bastert';'Sabine';1974;'CDU';6;'Hessen';7;' 44 ';'  '
'Hartwig';'Frank';1960;'NPD';22;;;;255
'Hartwig';'Karin';1960;'NPD';22;;;;253
'Häse';'Jenny';1987;'BüSo';5;'Brandenburg';4;' 2 ';'  '
'Hasenjäger';'Agnes';1950;'DIE LINKE';13;'Niedersachsen';9;' 11 ';'  '
'Hassel';'Dagmar';1958;'CDU';6;'Rheinland-Pfalz';11;' 18 ';'  '
'Hassel-Reusing';'Sarah Luzia';1961;'ödp';23;'Nordrhein-Westfalen';10;' 12 ';'  '
'Hasselbach';'Philipp Maximilian';1987;'NPD';22;;;;222
'Hasselfeldt';'Gerda';1950;'CSU';8;'Bayern';2;' 2 ';216
'Haßelmann';'Britta';1961;'GRÜNE';4;'Nordrhein-Westfalen';10;' 3 ';133
'Hassler';'Jörgen Michael';1983;'SPD';29;'Brandenburg';4;' 15 ';'  '
'Haßler';'Florian';1977;'GRÜNE';4;'Baden-Württemberg';1;' 14 ';260
'Häßler';'Markus';1983;'K:Häßler';30;;;;238
'Hauck';'Marc';1978;'FDP';17;'Rheinland-Pfalz';11;' 28 ';'  '
'Hauck';'Michael';1970;'GRÜNE';4;;;;244
'Hauck';'Norbert';1949;'REP';14;'Rheinland-Pfalz';11;' 1 ';'  '
'Hauenschild';'Rainer';1968;'DIE LINKE';13;;;;261
'Hauer';'Matthias';1977;'CDU';6;'Nordrhein-Westfalen';10;' 46 ';121
'Hauer';'Nina';1968;'SPD';29;'Hessen';7;' 11 ';177
'Haug';'Stefan';1958;'GRÜNE';4;;;;230
'Haugg';'Friedrich';1969;'FDP';17;'Bayern';2;' 28 ';'  '
'Häupl';'Gotthard Lothar';1949;'K:Häupl';30;;;;160
'Hauptstein';'Gabriele';1960;'FDP';17;'Sachsen-Anhalt';14;' 4 ';67
'Haustein';'Heinz-Peter';1954;'FDP';17;'Sachsen';13;' 3 ';165
'Haverlandt';'Sven-Gunnar';1978;'NPD';22;'Brandenburg';4;' 5 ';'  '
'Hebach';'Maria-Anna';1946;'Volksabst.';1;'Baden-Württemberg';1;' 5 ';'  '
'Heck';'Stefan';1982;'CDU';6;'Hessen';7;' 19 ';172
'Heer';'Doris';1949;'DIE LINKE';13;'Baden-Württemberg';1;' 17 ';'  '
'Heerwald';'Lutz';1960;'MLPD';20;'Brandenburg';4;' 2 ';'  '
'Hegendörfer';'Brigitte';1955;'CSU';8;'Bayern';2;' 47 ';'  '
'Hegener';'Ute';1955;'GRÜNE';4;;;;120
'Hegewald';'Reinhard';1964;'CDU';6;'Niedersachsen';9;' 22 ';25
'Heidbüchel';'Silvio';1988;'DIE LINKE';13;'Bayern';2;' 20 ';253
'Heidemann';'Wilfried Bernd Jürgen';1939;'RRP';27;'Nordrhein-Westfalen';10;' 3 ';'  '
'Heider';'Dr. Matthias';1966;'CDU';6;;;;150
'Heiderich';'Helmut';1949;'CDU';6;'Hessen';7;' 15 ';170
'Heike';'Anny';1948;'DIE LINKE';13;;;;243
'Heil';'Hubertus';1972;'SPD';29;'Niedersachsen';9;' 3 ';46
'Heil';'Mechthild';1961;'CDU';6;'Rheinland-Pfalz';11;' 10 ';199
'Heilemann';'Martin';1966;'DIE LINKE';13;'Niedersachsen';9;' 31 ';25
'Heilmann';'Lutz Eberhard';1966;'DIE LINKE';13;;;;9
'Heim';'Adrian';1964;'ödp';23;'Bayern';2;' 20 ';216
'Heimsoth';'Dirk';1956;'NPD';22;;;;39
'Hein';'Dr. Rosemarie Anna Gertrud';1953;'DIE LINKE';13;'Sachsen-Anhalt';14;' 5 ';70
'Heine';'Tobias';1986;'PIRATEN';26;'Niedersachsen';9;' 10 ';'  '
'Heinel';'Silvia';1988;'BüSo';5;'Berlin';3;' 6 ';80
'Heinemann';'Uwe';1975;'SPD';29;'Hessen';7;' 41 ';'  '
'Heinemeyer';'Anita';1948;'DIE LINKE';13;;;;93
'Heinen';'Alexandra';1971;'CDU';6;'Saarland';12;' 15 ';'  '
'Heinen-Esser';'Ursula';1965;'CDU';6;'Nordrhein-Westfalen';10;' 3 ';94
'Heinlein';'Filip';1985;'GRÜNE';4;;;;196
'Heinrich';'Frank';1964;'CDU';6;;;;163
'Heinrich';'Ralf';1962;'BüSo';5;'Bayern';2;' 10 ';253
'Heins';'Dr. Christine';1963;'CDU';6;'Schleswig-Holstein';15;' 26 ';'  '
'Heintel';'Marcus';1976;'SPD';29;'Rheinland-Pfalz';11;' 15 ';201
'Heinz';'Alexander';1978;'FDP';17;'Saarland';12;' 8 ';'  '
'Heinzmann';'Axel';1946;'NPD';22;;;;289
'Heinzmann';'Gerhard';1940;'PBC';24;'Baden-Württemberg';1;' 1 ';'  '
'Heinzmann';'Michael';1969;'PBC';24;'Rheinland-Pfalz';11;' 1 ';'  '
'Heise';'Thorsten';1969;'NPD';22;'Thüringen';16;' 3 ';189
'Heiske';'Thomas Martin';1966;'FDP';17;'Nordrhein-Westfalen';10;' 47 ';114
'Heitchen';'Michael';1971;'FDP';17;'Niedersachsen';9;' 18 ';52
'Helge';'Ingo';1976;'NPD';22;'Rheinland-Pfalz';11;' 6 ';206
'Heller';'Hendrik Tilmann';1986;'NPD';22;'Thüringen';16;' 5 ';197
'Heller';'Uda Carmen Freia';1951;'CDU';6;'Sachsen-Anhalt';14;' 2 ';75
'Helling';'Harald';1958;'SPD';29;'Niedersachsen';9;' 45 ';'  '
'Helling';'Katrin';1986;'FDP';17;'Nordrhein-Westfalen';10;' 28 ';139
'Hellmich';'Wolfgang';1958;'SPD';29;'Nordrhein-Westfalen';10;' 15 ';147
'Hellriegel';'Ronnie';1978;'NPD';22;;;;258
'Helmer';'Jan';1964;'CSU';8;'Bayern';2;' 34 ';'  '
'Hemker';'Dr. Reinhold';1944;'SPD';29;;;;129
'Hempel';'Dennis';1983;'K:Hempel';30;;;;78
'Hempelmann';'Rolf';1948;'SPD';29;'Nordrhein-Westfalen';10;' 61 ';120
'Hendricks';'Dr. Barbara';1952;'SPD';29;'Nordrhein-Westfalen';10;' 9 ';113
'Henke';'Rudolf';1954;'CDU';6;'Nordrhein-Westfalen';10;' 41 ';88
'Henke';'Walter';1952;'FDP';17;'Brandenburg';4;' 8 ';58
'Henn';'Werner';1957;'SPD';29;'Baden-Württemberg';1;' 35 ';278
'Henne';'Andreas';1966;'CDU';6;'Hessen';7;' 31 ';'  '
'Henneke';'Stefanie';1979;'GRÜNE';4;;;;34
'Hennig';'Martin';1970;'BüSo';5;'Bayern';2;' 13 ';219
'Hennigs von';'Wolff-Eberhard';1929;'CDU';6;'Baden-Württemberg';1;' 34 ';'  '
'Henning';'Dr. Rigolf';1935;'NPD';22;;;;35
'Hennne';'Dieter';1955;'FAMILIE';16;'Saarland';12;' 6 ';'  '
'Hennrich';'Michael';1965;'CDU';6;;;;262
'Henrichs';'Werner';1938;'Volksabst.';1;'Nordrhein-Westfalen';10;' 3 ';99
'Henry';'Ursula Maria';1941;'SPD';29;'Saarland';12;' 13 ';'  '
'Hense';'Norbert';1990;'K:Hense';30;;;;284
'Hentzen';'Christoph';1959;'FDP';17;'Hessen';7;' 20 ';186
'Henzler';'Clemens';1945;'CDU';6;'Rheinland-Pfalz';11;' 35 ';'  '
'Herbert';'Dr. Ernst Albert';1952;'MLPD';20;;;;102
'Herbert';'Dr. Ulrich';1952;'FDP';17;'Bayern';2;' 17 ';238
'Herbert';'Sibylle';1942;'FDP';17;'Hessen';7;' 31 ';'  '
'Herbert';'Stefan';1965;'VIOLETTEN';15;'Baden-Württemberg';1;' 7 ';'  '
'Herlitzius';'Bettina';1960;'GRÜNE';4;'Nordrhein-Westfalen';10;' 13 ';89
'Hermann';'Petra';1960;'FDP';17;'Nordrhein-Westfalen';10;' 42 ';121
'Hermann';'Winfried';1952;'GRÜNE';4;'Baden-Württemberg';1;' 6 ';290
'Hermes';'Stefan';1967;'PIRATEN';26;'Hessen';7;' 4 ';'  '
'Herold';'Hans-Dieter';1951;'GRÜNE';4;;;;240
'Herr';'Bärbel';1948;'REP';14;'Bayern';2;' 6 ';'  '
'Herrmann';'Dr. Dietrich';1962;'GRÜNE';4;;;;160
'Herrmann';'Jürgen';1962;'CDU';6;;;;137
'Hertz';'Detlef';1967;'DIE LINKE';13;'Nordrhein-Westfalen';10;' 31 ';'  '
'Hertzler-Zimmer';'Christine';1966;'SPD';29;'Saarland';12;' 26 ';'  '
'Herz';'Monica';1956;'K:Herz';30;;;;226
'Herzig';'Franz';1950;'CDU';6;'Hessen';7;' 33 ';'  '
'Herzog';'Gustav';1958;'SPD';29;'Rheinland-Pfalz';11;' 4 ';210
'Heß';'Konrad Rudolf';1939;'FAMILIE';16;'Rheinland-Pfalz';11;' 6 ';'  '
'Heß';'Marion';1967;'FDP';17;'Baden-Württemberg';1;' 24 ';259
'Heß';'Petra';1959;'SPD';29;'Thüringen';16;' 4 ';192
'Hesse';'Klaus-Peter';1967;'CDU';6;'Hamburg';6;' 9 ';'  '
'Hettlich';'Peter';1959;'GRÜNE';4;;;;152
'Hetz';'Ingrid';1956;'VIOLETTEN';15;'Bayern';2;' 3 ';228
'Heurung';'Markus';1977;'PIRATEN';26;;;;251
'Heuser';'Walter';1936;'DIE LINKE';13;;;;101
'Heveling';'Ansgar';1972;'CDU';6;;;;111
'Heyder';'Matthias';1972;'NPD';22;'Sachsen-Anhalt';14;' 1 ';69
'Heydrich';'Dr. Jürgen';1933;'REP';14;'Nordrhein-Westfalen';10;' 2 ';'  '
'Heyenn';'Hannah';1982;'DIE LINKE';13;'Hamburg';6;' 5 ';'  '
'Heynemann';'Bernd Reinhold Gerhard';1954;'CDU';6;'Sachsen-Anhalt';14;' 9 ';70
'Hiebinger';'Wolfgang';1946;'BP';3;'Bayern';2;' 24 ';'  '
'Hiekisch';'Antje';1977;'NPD';22;'Sachsen';13;' 2 ';'  '
'Hien';'Michael Siegmund Reinhard';1987;'CSU';8;'Bayern';2;' 44 ';'  '
'Hiksch';'Uwe';1964;'DIE LINKE';13;;;;238
'Hilburger';'Karl Willi Arthur';1947;'RRP';27;'Bayern';2;' 5 ';'  '
'Hildebrand';'Anna-Maria';1985;'BüSo';5;'Berlin';3;' 8 ';81
'Hildebrandt';'Arne';1985;'PIRATEN';26;'Brandenburg';4;' 4 ';'  '
'Hildebrandt';'Robert';1983;'PIRATEN';26;'Thüringen';16;' 5 ';'  '
'Hilgenkamp';'Frank';1972;'GRÜNE';4;;;;147
'Hilgert';'Rainer';1953;'ödp';23;'Rheinland-Pfalz';11;' 1 ';'  '
'Hilker';'Axel';1967;'GRÜNE';4;'Schleswig-Holstein';15;' 12 ';'  '
'Hill';'Hans-Kurt';1950;'DIE LINKE';13;;;;298
'Hillbrecht';'Dirk';1972;'PIRATEN';26;'Niedersachsen';9;' 1 ';'  '
'Hillebrand';'Heinz';1954;'DIE LINKE';13;;;;104
'Hiller-Ohm';'Gabriele';1953;'SPD';29;'Schleswig-Holstein';15;' 4 ';11
'Hinsken';'Ernst';1943;'CSU';8;;;;231
'Hintze';'Henning';1942;'DIE LINKE';13;'Bayern';2;' 16 ';221
'Hintze';'Peter';1950;'CDU';6;'Nordrhein-Westfalen';10;' 4 ';103
'Hinz';'Petra';1962;'SPD';29;'Nordrhein-Westfalen';10;' 32 ';121
'Hinz';'Priska';1959;'GRÜNE';4;'Hessen';7;' 1 ';173
'Hirsch';'Cornelia';1980;'DIE LINKE';13;'Thüringen';16;' 5 ';192
'Hirte';'Christian';1976;'CDU';6;'Thüringen';16;' 4 ';190
'Hitschler';'Thomas';1982;'SPD';29;'Rheinland-Pfalz';11;' 32 ';'  '
'Hochbaum';'Robert';1954;'CDU';6;;;;167
'Höche';'Heidrun';1959;'VIOLETTEN';15;'Baden-Württemberg';1;' 10 ';'  '
'Hochstein';'Stephan';1983;'BüSo';5;'Nordrhein-Westfalen';10;' 9 ';141
'Hoersch';'Rüdiger';1964;'RRP';27;'Saarland';12;' 1 ';'  '
