'Nachname';'Vorname';'Geburtsjahr';'Partei (trim)';'Partei-Nr';'Land (Trim)';'Land-Nr.';'Platz';'Wahlkreis - Nr.'
'Baecker';'Dietrich Karl Ernst';1937;'PBC';24;'Bremen';5;' 1 ';'  '
'Baer';'Peter';1934;'K:Baer';30;;;;292
'Baerbock';'Annalena';1980;'GRÜNE';4;'Brandenburg';4;' 3 ';64
'Bahr';'Daniel';1976;'FDP';17;'Nordrhein-Westfalen';10;' 8 ';130
'Bähr';'Manfred';1959;'FDP';17;'Sachsen-Anhalt';14;' 3 ';71
'Bailey';'Gabriele';1958;'GRÜNE';4;;;;112
'Balck';'Dieter';1941;'RENTNER';28;'Hamburg';6;' 1 ';'  '
'Balg';'Torsten';1971;'ödp';23;'Rheinland-Pfalz';11;' 17 ';'  '
'Balke';'Dr. jur. Michael';1954;'K:Balke';30;;;;144
'Balnat';'Peter Manfred';1956;'NPD';22;'Bremen';5;' 3 ';'  '
'Balzer';'Regina Hildegard Käthe';1949;'MLPD';20;'Sachsen';13;' 7 ';'  '
'Bangerter';'Gero Heinrich';1983;'FDP';17;'Nordrhein-Westfalen';10;' 30 ';145
'Bannert';'Stefan';1966;'DIE LINKE';13;'Bayern';2;' 18 ';248
'Bannert';'Ulrich Gustav';1950;'REP';14;'Bayern';2;' 25 ';'  '
'Bänsch';'Knut';1961;'PIRATEN';26;'Hessen';7;' 8 ';'  '
'Bär';'Dorothee';1978;'CSU';8;'Bayern';2;' 7 ';248
'Bär';'Karl';1985;'GRÜNE';4;'Bayern';2;' 12 ';224
'Baranski';'Robin';1977;'SPD';29;'Nordrhein-Westfalen';10;' 72 ';'  '
'Barchmann';'Heinz-Joachim';1950;'SPD';29;'Niedersachsen';9;' 11 ';52
'Bareiß';'Thomas';1975;'CDU';6;;;;295
'Bargmann';'Rudolf Walter';1976;'DVU';11;'Bremen';5;' 1 ';'  '
'Barnett';'Doris';1953;'SPD';29;'Rheinland-Pfalz';11;' 3 ';208
'Barta';'Daniel Lutz';1954;'FDP';17;'Hamburg';6;' 7 ';'  '
'Bartels';'Dr. Hans Peter';1961;'SPD';29;'Schleswig-Holstein';15;' 6 ';5
'Bartelt';'Christian';1976;'FDP';17;'Mecklenburg-Vorpommern';8;' 4 ';16
