Wahlkreis;Partei;Erststimmen;Zweitstimmen;Jahr
13;4;3466;6102;2005
13;4;6353;6833;2009
13;6;35360;34064;2005
13;6;34633;36653;2009
13;13;28167;28978;2005
13;13;33681;32623;2009
13;14;;198;2009
13;17;5158;7781;2005
13;17;9401;11405;2009
13;20;;358;2005
13;20;;211;2009
13;22;4509;4431;2005
13;22;3945;3598;2009
13;24;;406;2005
13;26;;2579;2009
13;29;54180;49324;2005
13;29;30247;24464;2009
13;30;;966;2005
13;99;1306;966;2005
14;4;12917;7483;2005
14;4;13727;10772;2009
14;6;35053;31419;2005
14;6;34517;34759;2009
14;13;30578;32859;2005
14;13;41539;40045;2009
14;14;;177;2009
14;17;5656;7436;2005
14;17;8517;12234;2009
14;20;1179;576;2005
14;20;554;324;2009
14;22;;2768;2005
14;22;3215;2999;2009
14;24;;313;2005
14;26;;4215;2009
14;29;51623;53531;2005
14;29;25389;23223;2009
14;30;;1205;2005
14;99;;1205;2005
14;99;1044;;2009
15;4;2734;4404;2005
15;4;3735;5349;2009
15;6;57131;47783;2005
15;6;57865;43650;2009
15;13;32850;33294;2005
15;13;30935;33522;2009
15;14;;236;2009
15;17;4078;10351;2005
15;17;5668;13087;2009
15;20;;454;2005
15;20;;210;2009
15;22;4787;5033;2005
15;22;3262;3434;2009
15;24;;384;2005
15;26;;2564;2009
15;29;35028;35478;2005
15;29;14040;15048;2009
15;30;;1016;2005
15;99;1692;1016;2005
15;99;1801;;2009
16;4;3855;4718;2005
16;4;5736;6241;2009
16;6;53000;50875;2005
16;6;46147;44679;2009
16;13;34543;33863;2005
16;13;35385;34198;2009
16;14;;301;2009
16;17;7946;9502;2005
16;17;10414;12686;2009
16;20;;401;2005
16;20;;212;2009
16;22;6865;6459;2005
16;22;5552;5274;2009
16;24;;417;2005
16;26;;2968;2009
16;29;36308;35419;2005
16;29;15995;14941;2009
16;30;;995;2005
16;99;;995;2005
16;99;2135;;2009
17;4;4252;5989;2005
17;4;6255;6762;2009
17;6;48653;46295;2005
17;6;45176;44654;2009
17;13;34824;35020;2005
17;13;35601;36412;2009
17;14;;237;2009
17;17;5820;9470;2005
17;17;9485;13038;2009
17;20;;407;2005
17;20;;277;2009
17;22;5261;5071;2005
17;22;4118;3869;2009
17;23;523;;2009
17;24;740;658;2005
17;26;;2525;2009
17;29;50836;48027;2005
17;29;28457;22778;2009
17;30;;835;2005
17;99;1072;835;2005
17;99;647;;2009
18;4;3358;4237;2005
18;4;4500;4745;2009
18;6;42316;39683;2005
18;6;38102;38746;2009
18;13;36734;36782;2005
18;13;37851;36270;2009
18;14;;239;2009
18;17;6183;7899;2005
18;17;8015;9888;2009
18;20;;349;2005
18;20;;250;2009
18;22;6437;6156;2005
18;22;5733;5283;2009
18;24;;400;2005
18;26;;2467;2009
18;29;40157;38950;2005
18;29;19696;18106;2009
18;30;;856;2005
18;99;;856;2005
18;99;1643;;2009
19;4;20230;27703;2005
19;4;27213;27865;2009
19;6;48762;42351;2005
19;6;43587;38689;2009
19;11;;243;2009
19;13;10869;13967;2005
19;13;21718;22702;2009
19;17;6407;13806;2005
19;17;12818;19105;2009
19;20;;117;2005
19;20;;132;2009
19;21;;1540;2005
19;22;2433;2201;2005
19;22;2348;1822;2009
19;23;;675;2009
19;26;;6303;2009
19;28;;1176;2009
19;29;87748;74573;2005
19;29;56809;46419;2009
19;33;;381;2005
19;35;;727;2005
19;99;715;1108;2005
20;4;15507;25387;2005
20;4;17799;24462;2009
20;5;151;;2009
20;6;45468;38333;2005
20;6;38969;33916;2009
20;11;;104;2009
20;13;6492;8914;2005
20;13;12605;15670;2009
20;17;4444;12185;2005
20;17;10517;17028;2009
20;20;;86;2005
20;20;158;84;2009
20;21;;853;2005
20;22;973;951;2005
20;22;771;795;2009
20;23;709;545;2009
20;26;;3344;2009
20;28;;755;2009
20;29;61936;47600;2005
20;29;46522;32633;2009
20;33;;269;2005
20;35;;459;2005
20;99;;728;2005
20;99;954;;2009
21;4;18249;26223;2005
21;4;36518;25819;2009
21;6;49039;40058;2005
21;6;43714;37695;2009
21;11;;144;2009
21;13;6366;8977;2005
21;13;12540;14732;2009
21;17;5297;13841;2005
21;17;11732;18851;2009
21;20;;54;2005
21;20;;70;2009
21;21;;936;2005
21;22;1068;910;2005
21;22;969;799;2009
21;23;;428;2009
21;26;;3531;2009
21;28;;934;2009
21;29;65610;54488;2005
21;29;33364;37722;2009
21;33;;165;2005
21;35;;365;2005
21;99;;530;2005
21;99;1295;;2009
22;4;16177;26143;2005
22;4;21268;26306;2009
22;6;65788;53812;2005
22;6;61873;50174;2009
22;11;;152;2009
